Sheela,514-555-0101,sheela@mail.com,Montreal
Enzo,418-555-0202,enzo@mail.com,Quebec
Bouchard,514-555-0808,bouchard@mail.com,Montreal
Bergeron,819-555-1414,bergeron@mail.com,Sherbrooke
Clara,450-555-1212,clara@mail.com,Laval
Kamal,450-555-0303,kamal@mail.com,Laval
Isabelle,514-555-0505,isabelle@mail.com,Montreal
Gagnon,514-555-1010,gagnon@mail.com,Montreal
Fortin,514-555-1313,fortin@mail.com,Montreal
Julie,418-555-0606,julie@mail.com,Quebec
Natacha,819-555-0404,natacha@mail.com,Sherbrooke
Martin,819-555-0909,martin@mail.com,Sherbrooke
Roy,418-555-1111,roy@mail.com,Quebec
Rafa,438-888-8888,rafa@mail.com,Montreal
Pamela,514-555-5555,pam@mail.com,Brossard
Tremblay,450-555-0707,tremblay@mail.com,Longueuil
Simard,514-555-1515,simard@mail.com,Montreal
Steeve,514-666-7475,steeve@gmail.com,Brossard
Zara,438-555-6565,zara@mail.com,St-Hubert
